query,label
SELECT username FROM users WHERE user_id = 1;,1
"INSERT INTO orders (order_id, product) VALUES (101, 'Laptop');",1
UPDATE users SET password = 'newpass' WHERE username = 'admin';,1
DELETE FROM logs WHERE created_at < '2023-01-01';,1
DROP TABLE temp_data;,1
ALTER TABLE customers ADD COLUMN phone VARCHAR(15);,1
"CREATE TABLE test (id INT, name VARCHAR(100));",1
SELECT * FROM products JOIN categories ON products.category_id = categories.id;,1
SELECT COUNT(*) FROM users;,0
"INSERT INTO customers (name, email) VALUES ('John Doe', 'john@example.com');",0
